Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,To protect my health and well-being by avoiding toxins and harmful chemicals in makeup.,Functional,"The user is motivated by health concerns, seeking makeup options free from toxins like talc, parabens, and lead that can disrupt hormones and cause health issues.","Health, safety, hormonal balance",Critical driver,post_id 3676862303560455769,"['Most makeup on shelves is a cocktail of toxins', 'Clean doesn’t mean boring—there are beautiful, high-performance options', 'Your skin absorbs what you put on it']","['toxin-free', 'hormonal health', 'clean beauty', 'safety', 'makeup']"
true,"To have skin that looks natural, healthy, and glowing without covering it up.",Emotional,"The user desires confidence through authentic, natural skin appearance, emphasizing a healthy glow that reflects well-being and authenticity.","Self-confidence, authenticity, natural beauty",Very important,post_id 3692393225973215937,"['Skin that looks like skin. Glowing, healthy, confident.', 'It brings you out.', 'That fresh-faced feeling when your skincare is working with your skin']","['natural skin', 'confidence', 'glow', 'authenticity', 'well-being']"
true,"To enjoy a relaxing, refreshing, and tropical scent experience that transports me to vacation vibes.",Emotional,"The user is motivated by sensory pleasure and escapism, seeking a body spray that evokes feelings of relaxation, happiness, and a carefree summer mood.","Joy, relaxation, escapism",Moderate to strong,post_id 3683956231485556409,"['Think sunshine on skin, salty air, tropical fruit drink in hand', 'Perfect for beach days, road trips, or just wanting to smell like vacay vibes', 'Spritz that magic all over']","['relaxation', 'vacation', 'scent', 'escapism', 'pleasure']"
true,"To maintain healthy, strong, and nourished hair through dedicated scalp and hair care routines.",Functional,"Motivated by the desire for hair health, users seek products that promote strength, nourishment, and overall wellness of hair and scalp.","Healthy hair, self-care, vitality",Major driver,post_id 3685299923576191385,"['Strong strands, healthier roots, and all the glow', 'Hair wellness is crucial', 'Getting that extra care']","['hair health', 'nourishment', 'strength', 'self-care', 'wellness']"
true,"To feel comfortable and soothed by using gentle, effective skincare that respects my sensitive skin.",Emotional,"The user seeks peace of mind and comfort by choosing skincare that reduces irritation and inflammation, ensuring their skin feels calm and cared for.","Comfort, safety, skin health",Important,post_id 3671395854372092063,"[""My skin is pretty sensitive and I'm always scared to try new products"", 'It feels so soothing and hydrating', 'The formula helps reduce inflammation and kicks your skin barrier']","['sensitive skin', 'soothing', 'hydration', 'calm', 'skin barrier']"
true,To feel confident and attractive by enhancing my appearance with luxurious haircare products.,Emotional,"The user is motivated by a desire to look and feel good, as shown by their enthusiasm for luxurious, beautiful hair products and their excitement over sales and discounts that allow them to access high-quality items.","Self-esteem, beauty, self-expression",Critical driver,m367/AQMM26_dYHa3ceVYBPuKoc5K1gyRZCCxCHmVtuU7TFae09vz8Z2uvqceOxDr-p05b1yK6tQG1-OfaaS9OZjwc38xpqdswNc24Ha8SOc.mp4,"['Omg I need this!!! 😍 it looks so so great ❤️ such luxurious and amazing products 👏 they’re so beautiful too!! 💜', 'They look super luxe! 😍😍😍', 'Love this!! 👏👏👏']","['luxury', 'beauty', 'self-confidence', 'haircare', 'sale']"
true,"To organize and carry my essentials efficiently, so I can feel prepared and stylish as a mom.",Emotional,"The user values being well-prepared and stylish, which is reflected in their enthusiasm for a fashionable diaper bag and the desire to carry all essentials comfortably, highlighting a need for convenience and self-expression.","Security, competence, belonging",Major motivation,post_id=3544043627577415280,"['Diapers bag must have👜💕', 'Cabe todo y más 😍😍', 'A must 👌está perfecta']","['momlife', 'organization', 'style', 'convenience', 'essentials']"
true,To improve my skin health and appearance through skincare that is effective and aligns with my holistic beliefs.,Functional,"The user seeks skincare products that deliver real results, are clean, and support overall health, motivated by a desire for effective and safe skincare routines.","Health, efficacy, security",Strong driver,post_id=3626947911481705577,"['Drinking your skincare AKA—Hydroxotyrosol is game changing 👏🏼🫒', 'I started taking 3 internals with Hydroxytyrosol purely because I knew that they would help me with my overall skin goals', 'my skin doing a 180']","['skincare', 'holistic', 'health', 'efficacy', 'beauty']"
true,"To relax and unwind at the end of the day by melting away makeup and stress with gentle, nourishing skincare.",Emotional,"The user is driven by a need to de-stress and care for themselves after a busy day, emphasizing gentle, soothing routines that promote inner and outer well-being.","Relaxation, self-care, peace of mind",Major importance,post_id=3667508168012245228,"['Time to melt the day away', 'Gentle on my skin, kind to my gut, and soft on my mind', 'releasing the day']","['relaxation', 'self-care', 'stress relief', 'gentle', 'well-being']"
true,To achieve a youthful appearance and reduce signs of aging through holistic health and skincare routines.,Emotional,"The user aims to look younger and healthier by using anti-inflammatory and skin-enhancing products, motivated by a desire to reverse aging and improve overall vitality.","Youthfulness, vitality, security",Critical driver,post_id=3667508168012245228,"['I feel like I’m aging in reverse 😳', 'drinking your skincare AKA—Hydroxotyrosol is game changing 👏🏼🫒', 'reducing the inflammation in my body']","['anti-aging', 'youth', 'holistic health', 'beauty', 'vitality']"
true,To feel energized and uplifted.,Emotional,"The user seeks products like citrus scents and energizing oils to boost mood and vitality, driven by a desire for emotional uplift and positive feelings.","Enjoyment, vitality, emotional well-being",Strong driver,Comments on post by Crystal Irish,"['Wild orange is perfect for increased energy and uplifting moods🍊', 'Love all the citrus scents!']","['energy', 'uplift', 'citrus', 'mood', 'fragrance']"
true,To improve my skin health and appearance.,Functional,"The user is motivated by a desire for healthier, clearer, and more radiant skin, seeking natural and effective skincare solutions to address skin concerns.","Health, security, self-confidence",Critical driver,Comment on skin swaps post by Jen Smiley,"[""Stop putting this on your skin. You're grabbing brands that you know that contain known carcinogens."", 'Your glow-up starts with the label.']","['skincare', 'toxins', 'natural', 'glow', 'healthy skin']"
true,"To achieve a natural, radiant appearance without invasive procedures.",Emotional,"The user desires a glow that feels authentic and aligned with their natural self, motivated by a wish to look good and feel confident without resorting to chemicals or invasive treatments.","Self-acceptance, authenticity, confidence",Strong driver,Post by Sarah Lisa | Waterless Beauty,"['Here’s to the glow-up we actually feel.', 'This feels aligned with who I am']","['glow', 'natural', 'confidence', 'age naturally', 'authenticity']"
true,"To find effective, non-toxic skincare products that deliver visible results.",Functional,"The user is driven by a desire for safe, clean skincare solutions that are effective in improving skin condition and appearance, avoiding harmful chemicals.","Safety, effectiveness, control",Critical driver,Post by Savana Miller,"['I realized I wasn’t loving my skin the way I wanted to.', 'Discovering Oliveda and their waterless skincare powered by Hydroxytyrosol.']","['clean beauty', 'non-toxic', 'effective', 'skincare', 'natural']"
true,"To maintain healthy, nourished skin and body with simple, low-tox products.",Functional,"The user seeks straightforward, natural products that promote skin health, emphasizing simplicity and safety over complexity or chemicals.","Health, control, security",Major driver,Post by The GoodPlant KZN,"['Most lotions don’t work because they’re mostly water. They offer only temporary relief.', 'Rich in vitamins. Deeply nourishing. Made from real, natural fats your skin knows how to use.']","['natural', 'nourishing', 'simple', 'healthy skin', 'trust']"
true,To embrace and celebrate my natural beauty.,Emotional,"The user values natural, unfiltered beauty, driven by a love for what is genuine and God-designed, aiming to feel authentic and confident in their own skin.","Self-acceptance, authenticity, belonging",Critical,Instagram post by skincarebyaroma,"['A deep love for what’s natural.', 'Unfiltered. God-designed. Real.', 'We carry the scent of the world remembers. We call this a room. The things that make you who you are.']","['natural beauty', 'authenticity', 'self-acceptance']"
true,To support and empower women to embrace their true selves.,Emotional,"The user’s mission revolves around inspiring women to accept and love their natural appearance, rooted in a genuine appreciation for natural beauty and faith.","Belonging, empowerment, self-esteem",Strong,Instagram post by skincarebyaroma,"['My mission is to support more women to embrace who they are.', ""This is my aroma. What's yours?""]","['empowerment', 'self-love', 'natural beauty']"
true,To find skincare products that are effective and satisfying to use.,Functional,"The user seeks skincare that delivers real results and a pleasurable experience, emphasizing effectiveness and sensory satisfaction.","Efficiency, enjoyment, skincare effectiveness",Important,Post by Margarita • Content creator • UGC,"['It has this fun, bouncy texture, almost mousse-like, that turns into a rich, creamy foam.', 'Deeply cleanses but leaves my skin soft, never dry.', 'Simple, effective, and honestly… satisfying to use.']","['effective skincare', 'pleasure', 'texture']"
true,"To achieve and maintain healthy, glowing skin through safe, non-toxic products.",Functional,"The user is motivated by the desire for skin health and safety, preferring non-toxic, clean ingredients to support their skincare routine.","Health, safety, efficacy",Critical,Post by pure haven,"['Your skin works hard 24/7. A thoughtful a.m. and p.m. routine gives it the support it needs to stay clear, hydrated, and protected.', 'Use only the safest, most effective non-toxic skin care — no parabens, no fragrance, no dyes, no silicone, no sulfates, no formaldehyde ... no compromises.']","['non-toxic', 'healthy skin', 'safe ingredients']"
true,"To see visible improvements in skin firmness, elasticity, and youthfulness.",Functional,"The user seeks products that provide tangible, clinically supported results such as firmer, more youthful skin, often targeting aging concerns.","Youthfulness, effectiveness, confidence",Strong,Post by PCA Skin,"['Meet your new powerhouse serum: the PCA Skin Total Strength Serum... Visibly firm and lift skin.', 'Formulated with peptides, growth factors, and hyaluronic acid.', 'Minimize fine lines and pores, strengthen the skin barrier, enhance elasticity for a youthful glow.']","['anti-aging', 'firmness', 'skin elasticity']"
true,To support my skin's natural collagen production for a youthful appearance.,Functional,The user aims to improve skin firmness and smoothness by choosing collagen products with small peptides and supporting ingredients like Vitamin C.,"Youthfulness, skin health, efficacy",Important,Post by Mayuur Naturals,"['Look for products with smaller collagen peptides, combined with other active ingredients like Vitamin C, support your skin’s natural collagen production from within.', 'Supporting your skin’s natural collagen production naturally.']","['collagen', 'skin firmness', 'natural ingredients']"
true,"To create and enjoy a personalized, natural skincare routine.",Emotional,"The user is motivated by the idea of customizing their skincare with natural products that suit their preferences, enjoying a routine that feels authentic and tailored.","Control, self-expression, authenticity",Moderate,Post by endro_cosmetiques,"['It is possible to have a routine 100% natural.', 'Custom gift boxes make anyone’s day feel extra special.', 'Products with textures, formulas, and results that are effective and clean.']","['natural routine', 'customization', 'self-care']"
true,"To improve my hair health and appearance with effective, natural products.",Functional,"The user seeks hair care solutions that promote growth and strength using natural, safe ingredients, aiming for healthier, fuller hair.","Health, confidence, beauty",Important,Post about haircare sale from rejuveneriqe,"['Your best hair is calling! Get 50% off REJUVENIQE Oil, then choose a full haircare or skincare system.', 'Healthy hair tips, hair growth journey, hair treatments, hair goals.']","['hair health', 'natural haircare', 'growth']"
true,To protect my skin from UV damage,Functional,"The user emphasizes the importance of reapplying SPF frequently to maintain sun protection, driven by the need to prevent sunburn, dark spots, and long-term skin damage caused by UV rays.",Skin health and safety from environmental harm,Critical driver,post_id=3691544657583851246,"['Reapplying resets the clock.', 'SPF wears off. Reapplying resets the clock.', 'When you sweat, your sunscreen breaks down faster. Reapply post-activity.']","['SPF', 'sun protection', 'UV rays', 'reapply', 'skin health']"
true,To achieve deeply hydrated and healthy skin,Functional,"The user seeks intense moisturization and skin nourishment, motivated by the desire to quench skin’s thirst and maintain a healthy, glowing appearance, especially after activities like swimming.",Skin hydration and health,Major driver,post_id=3689893867551391944,"['Nothing quenches your skin’s thirst like this.', 'My skin feels as hydrated as this water', 'Truly a game changer!!!']","['moisturizer', 'hydration', 'skin thirst', 'glow', 'skincare']"
true,"To create a personalized, effective skincare routine",Functional,"The user is motivated by the desire to customize their skincare with DIY, nutrient-rich oils tailored to their skin type and goals, seeking an effective, chemical-free alternative to commercial products.",Control over skincare ingredients and effectiveness,Moderate driver,post_id=3564413348144420360,"['Build your own clean face serum', 'made with nutrient-packed plant powered oils, that’s clean, effective and penetrates deeply', 'you can customize it to match your skin type and goals!']","['DIY serum', 'custom skincare', 'natural oils', 'personalization', 'effectiveness']"
true,To feel youthful and maintain cellular health,Emotional,"Driven by the desire to look and feel younger, the user seeks anti-aging benefits and cellular wellness, motivated by scientific insights about powerful antioxidants and internal health that contribute to a youthful appearance.","Vitality, anti-aging, internal health",Critical driver,post_id=3688223407573475969,"['I’m 9.4 years younger biologically than my actual age.', 'Hydroxytyrosol ... this compound is up to 3,000x more powerful than vitamin C', 'support how you feel, function, and glow from within.']","['antiaging', 'antioxidant', 'biological age', 'cellular health', 'wellness']"
true,"To improve skin clarity and maintain a fresh, matte complexion",Functional,"The user aims for a matte, balanced skin appearance by using specific skincare products like cleansing foams, driven by the need to control oil, reduce shine, and achieve a clear complexion throughout the day.",Skin clarity and oil control,Major driver,post_id=3687293315291794932,"['Der CeraVe Ausgleichende Reinigungsschaum ist für mich aktuell ein echtes Highlight', 'Ein natürlich mattiertes Hautbild, das bis zu 8 Stunden anhält', 'entfernt gründlich Schmutz, überschüssigen Talg']","['matte skin', 'oil control', 'cleansing foam', 'shine reduction', 'skin clarity']"
true,To experience and enjoy a calming and revitalizing facial treatment,Emotional,"The user seeks relaxation, skin rejuvenation, and sensory pleasure through advanced facial treatments like cryo-cooled air and lymphatic massage, motivated by the desire for refreshed, healthier skin and a calming experience.","Relaxation, skin rejuvenation",Major driver,post_id=3648388607360160645,"['my skin has never felt this refreshed!', 'instant glow + long-term skin health', 'cryotherapy, infrared light, lymphatic massage']","['facial', 'relaxation', 'skin rejuvenation', 'cryotherapy', 'refresh']"
true,To remove makeup effortlessly without skin dryness or tightness,Functional,"The user is motivated by the need for an effective makeup remover that dissolves even waterproof makeup, while maintaining skin hydration and softness, driven by a desire for a gentle, residue-free cleanse.","Clean, hydrated skin",Major driver,post_id=3681853621105144034,"['melts makeup like butter.', 'even waterproof came off in seconds.', 'no tight feeling. No dryness.']","['makeup remover', 'gentle cleanse', 'hydration', 'residue-free', 'waterproof']"
true,To achieve a youthful and wrinkle-free appearance without invasive procedures.,Emotional,"Many users are interested in skincare and treatments like Botox or injections to look good and feel confident in their skin, driven by desires for aesthetic improvement and self-esteem.","Desire for self-confidence, attractiveness, and feeling good about one's appearance.",Critical driver for many in pursuing cosmetic treatments.,Instagram post by AMY PURDY (post_id: 3688882964692873523),"['Excited for everyone to try them!  The more preorders come in the faster we get these into the world for all of us!', '#notox #skincare #aging #lookgoodfeelgood #wrinklefree', 'Excited for everyone to try them!']","['skincare', 'aging', 'wrinkle-free', 'confidence', 'beauty']"
true,"To maintain healthy, irritated skin and avoid discomfort during illness.",Emotional,"Users seek soothing skincare solutions like ceramide creams and gentle massages to reduce skin irritation caused by colds or sinus issues, driven by the need for comfort and relief.","Relief from pain and discomfort, comfort, and skin health.",Important for comfort during illness; a strong motivator for self-care routines.,Instagram post by Zaneta Ortiz (post_id: 3692004594003736255),"['My nose was 10x redder and more irritated yesterday.', 'This stuff really saved me.', 'Hope you feel better soon!']","['irritation', 'skin soothing', 'comfort', 'relief', 'care']"
true,"To simplify skincare routines by using multi-benefit, natural products.",Functional,"Users are motivated by the desire to streamline their skincare with effective, minimal products like beef tallow creams, reducing clutter and complexity in their routines.","Efficiency, simplicity, convenience, and effectiveness in skincare.",High; many express enthusiasm for minimal routines and single-jar solutions.,Instagram post by Jessica Lane (post_id: 3678671336924142876),"['I wake up with skin that feels soft and balanced… not dry, not oily. Just right.', 'One jar. Multiple benefits. Pure nourishment.', 'Any way we can simplify things is a huge win!']","['minimalism', 'efficiency', 'natural', 'simplicity', 'skincare']"
true,"To feel confident and cared for through natural, effective skincare that replaces multiple products.",Emotional,"Many users seek skincare products like beef tallow that provide nourishment and hydration, making them feel self-cared-for, healthy, and confident without complexity.","Self-care, health, confidence, and feeling good in one's skin.",Strong; several comments express excitement and trust in the product's benefits.,Instagram post by Carly (post_id: 3691153247390296456),"['I wake up in the morning with the softest, calmest skin.', 'Less is more!!', 'I like the idea of one cream at night instead of many products!']","['confidence', 'self-care', 'natural', 'hydration', 'simplicity']"
true,"To nurture oneself with natural, holistic skincare rituals that promote well-being and self-connection.",Emotional,"Users interested in holistic beauty and natural rituals like sugaring or clean skincare aim to reconnect with their body and nature, emphasizing self-love and mindfulness.","Self-love, mindfulness, holistic health, and connection to nature.",Moderate to high; driven by values of purity and self-care.,Instagram post by Colleen (post_id: 3691153247390296456),"['Sugaring is more than just hair removal — it’s an ancient, all-natural beauty ritual rooted in simplicity and self-care.', 'Made from just sugar, lemon, and water — it’s gentle for sensitive skin and strong enough to tackle the most resilient hair without causing breakage.']","['natural', 'self-care', 'holistic', 'self-love', 'tradition']"
true,To feel confident and radiant in my skin,Emotional,"Users are motivated by the desire to enhance their appearance and feel more confident and beautiful, often seeking products that promise a glowing, healthy skin or a radiant look.","Self-esteem, belonging, and positive self-perception",Critical for self-confidence,Post about skincare & glow-up products,"['Glow-Up Alert: Skincare & Highlight Heaven', 'Let’s talk Dew Confidence and Dew Date – two of our most-loved skin oils that are absolute game changers for your skin!', 'Have you seen our Pro Makeup Highlighters? These beauties aren’t just highlighters…']","['glow', 'confidence', 'radiance', 'skincare', 'beauty']"
true,To contribute to environmental sustainability by choosing eco-friendly products,Emotional/Social,"Users are driven by a desire to reduce their ecological footprint and support brands that prioritize sustainability, such as reusable and biodegradable packaging.","Environmental security, responsibility, and social belonging",Important for eco-conscious consumers,Post about refillable lip balm,"['Rechargeable, Naturel, SPF 25... il coche toutes les cases.', 'Je garde l’étui (canon et écolo), et je ne remplace que la recharge. Zéro déchet inutile, que du bon !', 'Si tu ne connais pas encore @wildrefill , c’est clairement le moment de craquer']","['eco-friendly', 'rechargeable', 'sustainable', 'zero waste', 'natural']"
true,"To simplify my skincare routine and achieve quick, visible results",Functional,"Users seek efficient products that deliver immediate or noticeable effects, such as hydration and radiance, without complex steps or long wait times.","Efficiency, control, and ease of use",Major driver for busy or convenience-oriented users,Post about serum Diabolique Tomate,"['Un shot d’éclat, de fraîcheur… et de bonne mine en quelques gouttes seulement !', 'Ce sérum est une véritable pépite 😍 il est super', 'Un vrai boost naturel… sans make-up !']","['efficacy', 'quick results', 'hydration', 'glow', 'simplicity']"
true,To care for my lips in an eco-friendly way,Functional/Emotional,"Users are motivated by the desire to protect their lips with natural, sustainable products that also reflect their environmental values.","Health, security, and ecological responsibility","Moderately important, especially for eco-conscious users",Post about refillable lip balm,"['Rechargeable, Naturel, SPF 25... il coche toutes les cases.', 'Je garde l’étui (canon et écolo), et je ne remplace que la recharge.', 'Zéro déchet inutile, que du bon !']","['lip care', 'natural', 'rechargeable', 'eco-friendly', 'SPF']"
true,To enjoy a sensory and luxurious skincare experience,Emotional,"Users are motivated by products that provide a pleasurable, sensorial experience through textures, scents, and application feeling, enhancing their overall self-care ritual.","Enjoyment, relaxation, and escapism",Secondary but significant for experiential users,Post about serum with micro-perles and texture,"['Texture fluide ultra sensorielle', 'Une texture fraîche fondante et la pécation en vrai moment sensoriale', 'Une texture fraîche fondante et la pécation en vrai moment sensoriale.']","['sensory', 'luxury', 'texture', 'scents', 'self-care']"
true,To keep my pets healthy and happy,Functional/Social,"Users are motivated by love and responsibility for their pets’ well-being, seeking products that are safe, cruelty-free, and environmentally friendly, reflecting their care and compassion.","Love, security, and social belonging",High for pet owners,Post about pet care products,"['Pet Rave by @lovebeautyandplanet_in was an absolute treat!', 'Every range feels like a love letter from nature 🌿', 'So cutee❤️ | So cute puppies 😍 | So cute😍']","['pets', 'cruelty-free', 'vegan', 'care', 'animal love']"
true,To express my creativity and personal style through makeup,Emotional/Social,"Users are driven by the desire to explore and showcase their individuality, using makeup to craft different looks that reflect their personality and mood.","Self-expression, recognition, and belonging",Significant for makeup enthusiasts,Post about eyeshadow palette,"['Discover the perfect balance of earthy mattes and vibrant shimmers', 'Effortless glam, anywhere you go!', 'Whether you want a soft daytime look or bold city vibes']","['makeup', 'self-expression', 'creativity', 'style', 'beauty']"
true,To indulge in luxurious and meaningful scents,Emotional,"Users seek fragrances that tell stories, evoke emotions, and create memorable experiences, enhancing their overall sensory environment.","Enjoyment, escapism, and emotional connection",Moderate to high for fragrance lovers,Post about Louis Marie scents,"['Scents are stories.', '#Cleanbeauty', 'Available @sephora']","['scents', 'stories', 'emotion', 'memory', 'luxury']"
true,To achieve a healthy and radiant summer glow.,Emotional,"The user desires to feel confident and attractive during summer by maintaining a glowing skin, which is connected to feeling good and looking their best.","Self-confidence, beauty, self-expression",Critical for self-esteem and social appearance,post_id=3673660154856284024,"['Ich bin verliebt in das Hautgefühl!', 'mit einem Glow, der bleibt!', 'Perfekt, um die Sommerbräune länger zu erhalten und der Haut noch mal richtig Pflege zu schenken.']","['glow', 'summer', 'skin', 'confidence', 'beauty']"
true,"To reduce skin issues like crepey eyes and achieve smoother, healthier skin.",Emotional,"The user aims to improve their skin's appearance and health by targeting specific concerns like crepey eyes, driven by a desire for youthful, vibrant skin.","Skin health, appearance, anti-aging",Major motivation for skincare routines,post_id=3682456793203735804,"['#crepeyeyes #eyetreatment', 'glowingskin', 'skinproblems']","['skin', 'anti-aging', 'health', 'appearance', 'skincare']"
true,To nourish and hydrate dry skin with natural ingredients for a youthful appearance.,Functional,"The user seeks to alleviate dry skin and diminish hyperpigmentation using natural, nourishing products to maintain a youthful, healthy complexion.","Skin hydration, nourishment, anti-aging",Important for skin comfort and appearance,post_id=3683165777188426946,"['Diminishes hyperpigmentation', 'Hydrates skin', 'Youthful complexion']","['dry skin', 'nourishment', 'hydration', 'natural', 'youth']"
true,"To clean and care for the skin using natural, cruelty-free products.",Emotional,"The user values ethical and natural skincare, driven by a desire for purity, cruelty-free practices, and effective cleaning without harmful chemicals.","Purity, ethical standards, safety",Major driver in product choice,post_id=3682914848538325489,"['libres de crueldad y llenos de ingredientes reales', 'sin crueldad animal', 'productos para la limpieza de tu piel']","['natural', 'cruelty-free', 'clean', 'ethical', 'safe']"
true,"To maintain healthy, soft skin on a dry or sensitive body using natural ingredients.",Functional,"The user wants to nourish dry or sensitive skin with natural, vitamin-rich products to improve skin texture and appearance.","Skin nourishment, softness, health",Important for skin comfort and appearance,post_id=3683165777188426946,"['Diminishes hyperpigmentation', 'Hydrates skin', 'Youthful complexion']","['dry skin', 'nourishment', 'hydration', 'natural']"
true,"To replace harsh towels with gentler, natural cotton alternatives for skincare routine.",Emotional,"The user seeks a more gentle, bacteria-free way to care for their skin, driven by comfort and skin health concerns.","Skin comfort, safety, hygiene",Major motivation for skincare tools,post_id=3662093238787164884,"['no redness, no irritation, just clean, cold skin', 'They were harsh and full of bacteria', 'I definitely want to buy it']","['skincare tools', 'cotton towels', 'hygiene', 'gentle', 'health']"
true,"To celebrate and support a popular skincare product that helps achieve clear, smooth skin.",Social,"The user is motivated by community and social proof, engaging with a brand's success to feel part of a positive movement toward better skincare.","Belonging, social validation, support",Minor but meaningful in social context,post_id=3677634115932631620,"['Thank you for all your love!', 'our Cleansing Balm made it to the Top 100 on Amazon', 'celebrating this moment with you']","['support', 'brand', 'community', 'celebration', 'social']"
true,"To use natural, eco-friendly skincare products that support sustainability and cruelty-free practices.",Emotional,"The user values eco-consciousness and cruelty-free beauty, driven by a desire to contribute to environmental preservation and ethical consumption.","Environmental responsibility, ethics, sustainability",Strong motivator for product selection,post_id=3683261427369150735,"['non-toxic chapstick brands!', 'clean ingredients matter', 'safer, hydrating options out there that actually work']","['eco-friendly', 'cruelty-free', 'natural', 'sustainable', 'ethical']"
true,To experience and trust a skincare brand that has achieved recognition and positive reviews.,Functional,"The user is motivated by social proof and brand reputation, seeking effective products that are validated by awards and customer feedback.","Trust, efficacy, social proof",Major driver in purchasing decision,post_id=3674479545746188743,"['made it to the Top 100 on Amazon', 'experience the difference for yourself', 'smoother, clearer skin starts here']","['trust', 'brand recognition', 'reviews', 'quality', 'efficacy']"
true,"To find safe, non-toxic lip care products that avoid harmful chemicals and support overall health.",Functional,"The user wants to ensure their lips are cared for with clean ingredients, avoiding toxins found in conventional lip balms, for health and safety reasons.","Health, safety, non-toxicity",Important for health-conscious choices,post_id=3663261427369150735,"['most conventional lip balms are loaded with petroleum, synthetic fragrance', 'clean ingredients matter', 'safer, hydrating options that actually work']","['non-toxic', 'lip balm', 'safe', 'health', 'natural']"
true,To use age-appropriate skincare routines designed specifically for pre-teens.,Functional,"The user seeks simple, gentle skincare solutions suitable for young, developing skin, driven by a desire for safe and effective products for children.","Safety, simplicity, age-appropriate care",Major motivation for parents and guardians,post_id=3692308928902256268,"['simple, age-appropriate routine', 'no harsh ingredients', 'just clean, kind skincare for young skin']","['pre-teen', 'gentle', 'safe', 'routine', 'kids']"
true,"To achieve a healthy, glowing skin",Emotional,"Users are driven by the desire to improve their appearance and experience the confidence that comes with glowing skin, as evidenced by comments celebrating skin glow and product effectiveness.","Self-esteem, beauty, confidence",Critical for self-image and confidence,U1M0VBQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT3BLX2h0T1dIMVpaaFFmQUxOd1EyanBNTHdMYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmqoWkk4-3jAYVAigCQzMsF0AzAAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzF_fdjERAHX-B2XmnQEA,"['Your skin is glowing | I bet it is amazing 😍😍😍', 'Wow, your skin is glowing, girl!!! 😍😍', ""I love my skin when it's glowing!""]","['glowing skin', 'confidence', 'beauty', 'skincare', 'self-esteem']"
true,To protect my lips and skin from sun damage,Functional,"Users seek products with SPF and protective ingredients to guard against UV damage, as shown by comments about SPF, sun protection, and hydrating lip serums.","Safety, health, skin protection",High priority due to sun exposure risks,post_id=3621736643381709436,"['Say hello to my new obsession: the Beauty Stat C-Lip Serum SPF 30.', 'the added SPF keeps my lips protected all day, even under makeup.', 'Protection without leaving a white cast—goes on like a dream under makeup.']","['SPF', 'protection', 'sun damage', 'lipcare', 'skincare']"
true,"To simplify my skincare routine with minimalist, effective products",Functional,"Users are motivated by the desire for a straightforward, effective skincare routine that delivers results without complexity, as reflected in mentions of minimalism and short ingredient lists.","Efficiency, simplicity, control",Important for users overwhelmed by layering multiple products,post_id=3690237426060711977,"['Franchement bluffée par ce petit flacon de 15 ml !', 'application facile', 'peau plus souple, rougeurs atténuées']","['minimalist skincare', 'efficiency', 'simplicity', 'clean ingredients']"
true,"To experience the benefits of innovative, science-backed skincare ingredients",Functional,"Users are driven by curiosity and the desire to try scientifically supported ingredients like Hydroxytyrosol and natural compounds, as shown by mentions of scientific studies and efficacy claims.","Knowledge, effectiveness, trust","High, due to emphasis on scientific validation",post_id=3550130654085820525,"['Hydroxytyrosol has multiple scientific studies showing its benefits', 'a powerful ingredient called Hydroxytyrosol', 'scientifically proven benefits to skin and body']","['Hydroxytyrosol', 'science-backed', 'innovative skincare', 'antioxidant']"
true,"To enjoy a sensory, pleasurable skincare experience",Emotional,"Users seek products that provide sensory pleasure, such as pleasant flavors, textures, and scents, to enhance their skincare routine enjoyment.","Enjoyment, relaxation, self-care pleasure",Moderate but significant for routine adherence,post_id=3621736643381709436,"['yummy Orange Vanilla Creamsicle flavor', 'light foam to it!', 'smell so good!']","['sensory experience', 'pleasure', 'scents', 'flavor', 'self-care']"
true,To feel protected and confident in outdoor environments,Emotional,"Users want to feel secure and confident when outside, especially in hot or sunny weather, by using protective skincare products.","Security, confidence, comfort","High, especially during seasonal changes",post_id=3621802623994653663,"['Sensitive-skin friendly, fragrance-free, and packed with goat milk goodness.', 'perfect for quick refreshes on the go', 'keep my sensitive skin cool, calm, and hydrated']","['protection', 'confidence', 'outdoor skincare', 'sunscreen', 'hydration']"
true,"To keep my skin firm, plump, and protected with SPF.",Functional,"The user is driven by the desire for healthy, youthful skin that is well-maintained and protected from sun damage, as evidenced by their focus on skincare products with SPF, anti-wrinkle properties, and hydration.","Skin health, protection, and youthfulness.",Critical driver,Text excerpt about ankle moisturizer and SPF moisturizer,"['the ankle moisturizer is a staple, it helps with fine lines, wrinkles, and just keeps your skin firm and plump', 'SPF 45 gold daily moisturizer is lightweight, hydrating, and perfect for every disinfectant protection', 'Love the anti wrinkle moisturizer! Need to stock up']","['skincare', 'SPF', 'anti-wrinkle', 'hydration', 'firmness']"
